scenario,vaccine_cov,total_clin_cases_averted_thousands,total_sev_cases_averted_thousands,total_deaths_averted_thousands,clin_cases_averted_per_1000_doses,num_countries,country_list
Maintain 2016,100% coverage,10789 (7380-16519),306 (155-473),52 (26-80),216,25,"AGO, BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, SSD, TCD, TGO, UGA, ZMB"
Maintain 2016,100% coverage,11786 (7976-18295),351 (177-544),59 (30-92),196,27,"AGO, BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, SSD, TCD, TGO, TZA, UGA, ZMB"
High,Realistic coverage,2194 (1549-3290),54 (27-84),7 (4-11),219,14,"BFA, CAF, CIV, COD, GHA, GIN, LBR, MOZ, MWI, SLE, TCD, TGO, UGA, ZMB"
High,Realistic coverage,3534 (2377-5424),95 (47-149),12 (6-19),177,19,"BEN, BFA, CAF, CIV, COD, GHA, GIN, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
High,Realistic coverage,4512 (2962-7164),131 (65-208),17 (8-27),150,21,"BDI, BEN, BFA, CAF, CIV, CMR, COD, GHA, GIN, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
High,Realistic coverage,5210 (3323-8393),161 (78-255),21 (10-33),130,22,"BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
High,Realistic coverage,5717 (3561-9389),184 (87-296),24 (11-38),114,22,"BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
High,Realistic coverage,6092 (3716-10184),204 (95-334),26 (12-43),102,23,"BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
High,100% coverage,2972 (2082-4251),66 (34-105),9 (4-13),297,13,"BFA, CAF, CIV, COD, GHA, GIN, MOZ, MWI, NGA, SLE, TCD, UGA, ZMB"
High,100% coverage,4924 (3407-7331),125 (64-193),16 (8-25),246,16,"BFA, CAF, CIV, COD, GHA, GIN, LBR, MLI, MOZ, MWI, NGA, SLE, TCD, TGO, UGA, ZMB"
High,100% coverage,6411 (4348-9779),178 (90-274),23 (12-35),214,20,"BEN, BFA, CAF, CIV, COD, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
High,100% coverage,7556 (5035-11776),225 (113-348),29 (15-45),189,21,"BEN, BFA, CAF, CIV, CMR, COD, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
High,100% coverage,8383 (5489-13330),265 (132-413),34 (17-53),168,23,"BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
High,100% coverage,8958 (5765-14523),296 (146-468),38 (19-60),149,24,"BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, SSD, TCD, TGO, UGA, ZMB"
