ISO,vaccine_type,vaccine_scenario,clin_cases_averted,sev_cases_averted,deaths_averted,num_vacc_doses
TCD,3_dose,reduced_coverage,20603,1357,173,1967822
TCD,3_dose,reduced_coverage_lower,20603,1357,173,1967822
TCD,3_dose,reduced_coverage_upper,20603,1357,173,1967822
TCD,4_dose,full_coverage,59050,3810,492,2380866
TCD,4_dose,reduced_coverage,24925,1606,208,2380866
TCD,4_dose,reduced_coverage_lower,23999,1543,200,2380866
TCD,4_dose,reduced_coverage_upper,25848,1653,214,2380866
TGO,3_dose,full_coverage,129291,4364,563,780824
TGO,3_dose,reduced_coverage,112699,3682,476,780824
TGO,3_dose,reduced_coverage_lower,112699,3682,476,780824
TGO,3_dose,reduced_coverage_upper,112699,3682,476,780824
TGO,4_dose,full_coverage,157460,5165,667,949729
TGO,4_dose,reduced_coverage,137741,4422,570,949729
TGO,4_dose,reduced_coverage_lower,131185,4254,549,949729
TGO,4_dose,reduced_coverage_upper,140214,4490,579,949729
TZA,3_dose,full_coverage,26734,2155,278,6699938
TZA,3_dose,reduced_coverage,26708,2198,281,6699938
TZA,3_dose,reduced_coverage_lower,26708,2198,281,6699938
TZA,3_dose,reduced_coverage_upper,26708,2198,281,6699938
TZA,4_dose,full_coverage,32964,2642,342,8169157
TZA,4_dose,reduced_coverage,29922,2411,312,8169157
TZA,4_dose,reduced_coverage_lower,27813,2278,291,8169157
TZA,4_dose,reduced_coverage_upper,33372,2689,346,8169157
UGA,3_dose,full_coverage,445876,18606,2400,5450104
UGA,3_dose,reduced_coverage,375850,15843,2041,5450104
UGA,3_dose,reduced_coverage_lower,375850,15843,2041,5450104
UGA,3_dose,reduced_coverage_upper,375850,15843,2041,5450104
UGA,4_dose,full_coverage,547101,22462,2900,6620352
UGA,4_dose,reduced_coverage,451020,18714,2412,6620352
UGA,4_dose,reduced_coverage_lower,430203,18056,2329,6620352
UGA,4_dose,reduced_coverage_upper,468063,19366,2494,6620352
ZMB,3_dose,full_coverage,253868,9337,1205,2426691
ZMB,3_dose,reduced_coverage,247817,9055,1169,2426691
ZMB,3_dose,reduced_coverage_lower,247817,9055,1169,2426691
ZMB,3_dose,reduced_coverage_upper,247817,9055,1169,2426691
ZMB,4_dose,full_coverage,316922,11413,1472,2949482
ZMB,4_dose,reduced_coverage,293236,10484,1352,2949482
ZMB,4_dose,reduced_coverage_lower,279325,10023,1294,2949482
ZMB,4_dose,reduced_coverage_upper,300299,10639,1374,2949482
