ISO,vaccine_type,vaccine_scenario,clin_cases_averted_upper,sev_cases_averted_upper,deaths_averted_upper,num_vacc_doses_upper,clin_cases_averted_lower,sev_cases_averted_lower,deaths_averted_lower,num_vacc_doses_lower
GAB,3_dose,reduced_coverage,11892,648,112,155594,2405,125,21,147616
GAB,3_dose,reduced_coverage_lower,11892,648,112,155594,2405,125,21,147616
GAB,3_dose,reduced_coverage_upper,11892,648,112,155594,2405,125,21,147616
GAB,4_dose,full_coverage,18647,973,166,188858,4592,233,41,180602
GAB,4_dose,reduced_coverage,14040,735,128,188858,3125,157,27,180602
GAB,4_dose,reduced_coverage_lower,13588,699,121,188858,2907,152,26,180602
GAB,4_dose,reduced_coverage_upper,14630,758,130,188858,3193,160,27,180602
GHA,3_dose,full_coverage,898007,24249,4183,2397068,398638,6917,1194,2278027
GHA,3_dose,reduced_coverage,891065,23948,4130,2397068,397335,6672,1151,2278027
GHA,3_dose,reduced_coverage_lower,891065,23948,4130,2397068,397335,6672,1151,2278027
GHA,3_dose,reduced_coverage_upper,891065,23948,4130,2397068,397335,6672,1151,2278027
GHA,4_dose,full_coverage,1083984,27574,4757,2910388,492792,8489,1465,2788793
GHA,4_dose,reduced_coverage,1039959,26736,4610,2910388,469817,8006,1382,2788793
GHA,4_dose,reduced_coverage_lower,1001200,25783,4447,2910388,448135,7659,1320,2788793
GHA,4_dose,reduced_coverage_upper,1070079,27412,4727,2910388,487710,8301,1432,2788793
GIN,3_dose,full_coverage,554913,15118,2807,1413799,253973,3929,730,1343952
GIN,3_dose,reduced_coverage,267110,7405,1375,1413799,94281,1294,240,1343952
GIN,3_dose,reduced_coverage_lower,267110,7405,1375,1413799,94281,1294,240,1343952
GIN,3_dose,reduced_coverage_upper,267110,7405,1375,1413799,94281,1294,240,1343952
GIN,4_dose,full_coverage,665393,17074,3169,1707542,307152,4818,896,1638762
GIN,4_dose,reduced_coverage,307384,8004,1486,1707542,114456,1706,318,1638762
GIN,4_dose,reduced_coverage_lower,290745,7869,1462,1707542,112969,1523,284,1638762
GIN,4_dose,reduced_coverage_upper,310763,8188,1521,1707542,122036,1691,314,1638762
GNQ,3_dose,full_coverage,22224,625,99,63432,9601,198,31,59618
GNQ,3_dose,reduced_coverage,7462,222,36,63432,993,10,1,59618
GNQ,3_dose,reduced_coverage_lower,7462,222,36,63432,993,10,1,59618
GNQ,3_dose,reduced_coverage_upper,7462,222,36,63432,993,10,1,59618
GNQ,4_dose,full_coverage,26802,727,114,76698,12145,241,38,72867
GNQ,4_dose,reduced_coverage,7717,240,37,76698,1491,21,4,72867
GNQ,4_dose,reduced_coverage_lower,7460,234,38,76698,1495,17,3,72867
GNQ,4_dose,reduced_coverage_upper,7818,241,39,76698,1849,24,4,72867
KEN,3_dose,full_coverage,261443,13341,2113,4046501,54486,2129,336,3873129
KEN,3_dose,reduced_coverage,219931,11310,1796,4046501,40966,1571,252,3873129
KEN,3_dose,reduced_coverage_lower,219931,11310,1796,4046501,40966,1571,252,3873129
KEN,3_dose,reduced_coverage_upper,219931,11310,1796,4046501,40966,1571,252,3873129
KEN,4_dose,full_coverage,315793,15838,2512,4906407,69746,2704,432,4729482
KEN,4_dose,reduced_coverage,255644,12902,2048,4906407,49834,1975,312,4729482
KEN,4_dose,reduced_coverage_lower,246009,12542,1986,4906407,48022,1875,300,4729482
KEN,4_dose,reduced_coverage_upper,264156,13251,2101,4906407,53581,2064,329,4729482
LBR,3_dose,full_coverage,75516,3155,518,491511,23071,872,142,469138
LBR,3_dose,reduced_coverage,65499,2735,448,491511,18927,725,118,469138
LBR,3_dose,reduced_coverage_lower,65499,2735,448,491511,18927,725,118,469138
LBR,3_dose,reduced_coverage_upper,65499,2735,448,491511,18927,725,118,469138
LBR,4_dose,full_coverage,90418,3711,612,595017,28623,1049,173,572167
LBR,4_dose,reduced_coverage,75553,3101,508,595017,22769,839,137,572167
LBR,4_dose,reduced_coverage_lower,73176,3005,493,595017,21839,815,136,572167
LBR,4_dose,reduced_coverage_upper,78769,3172,523,595017,23985,880,144,572167
MLI,3_dose,full_coverage,648267,21672,4054,2864962,273115,7127,1334,2752752
MLI,3_dose,reduced_coverage,433766,14733,2756,2864962,167772,4364,816,2752752
MLI,3_dose,reduced_coverage_lower,433766,14733,2756,2864962,167772,4364,816,2752752
MLI,3_dose,reduced_coverage_upper,433766,14733,2756,2864962,167772,4364,816,2752752
MLI,4_dose,full_coverage,763344,24951,4667,3458860,334999,8605,1611,3342528
MLI,4_dose,reduced_coverage,502436,16322,3053,3458860,199653,5313,994,3342528
MLI,4_dose,reduced_coverage_lower,486461,16184,3029,3458860,191892,5074,948,3342528
MLI,4_dose,reduced_coverage_upper,515091,16974,3176,3458860,209799,5505,1029,3342528
MOZ,3_dose,full_coverage,1074247,33306,5475,3491368,479727,9744,1602,3321508
MOZ,3_dose,reduced_coverage,894062,27349,4495,3491368,356993,7409,1217,3321508
MOZ,3_dose,reduced_coverage_lower,894062,27349,4495,3491368,356993,7409,1217,3321508
MOZ,3_dose,reduced_coverage_upper,894062,27349,4495,3491368,356993,7409,1217,3321508
MOZ,4_dose,full_coverage,1309469,38898,6395,4220540,602865,11954,1967,4057548
MOZ,4_dose,reduced_coverage,1032182,30695,5049,4220540,440369,8903,1463,4057548
MOZ,4_dose,reduced_coverage_lower,1009109,30132,4953,4220540,427590,8418,1384,4057548
MOZ,4_dose,reduced_coverage_upper,1075938,31245,5137,4220540,457933,9328,1532,4057548
MWI,3_dose,full_coverage,464021,18182,2949,2259548,166957,5540,900,2164353
MWI,3_dose,reduced_coverage,411601,16269,2641,2259548,141966,4862,787,2164353
MWI,3_dose,reduced_coverage_lower,411601,16269,2641,2259548,141966,4862,787,2164353
MWI,3_dose,reduced_coverage_upper,411601,16269,2641,2259548,141966,4862,787,2164353
MWI,4_dose,full_coverage,563094,21503,3490,2731494,209039,6683,1084,2633948
MWI,4_dose,reduced_coverage,481823,18486,2998,2731494,174388,5690,925,2633948
MWI,4_dose,reduced_coverage_lower,468301,17827,2891,2731494,165333,5461,886,2633948
MWI,4_dose,reduced_coverage_upper,503103,19130,3102,2731494,179690,5876,955,2633948
NAM,3_dose,full_coverage,472,35,6,19168,-14,-1,0,18227
NAM,3_dose,reduced_coverage,424,31,5,19168,-28,-2,0,18227
NAM,3_dose,reduced_coverage_lower,424,31,5,19168,-28,-2,0,18227
NAM,3_dose,reduced_coverage_upper,424,31,5,19168,-28,-2,0,18227
NAM,4_dose,full_coverage,578,40,7,23360,-11,-1,0,22340
NAM,4_dose,reduced_coverage,485,38,6,23360,-16,-2,0,22340
NAM,4_dose,reduced_coverage_lower,491,34,6,23360,-22,-2,0,22340
NAM,4_dose,reduced_coverage_upper,519,37,6,23360,-13,-1,0,22340
NER,3_dose,full_coverage,795236,30704,5210,3830606,282676,9083,1541,3674121
NER,3_dose,reduced_coverage,652817,24944,4233,3830606,228151,7491,1271,3674121
NER,3_dose,reduced_coverage_lower,652817,24944,4233,3830606,228151,7491,1271,3674121
NER,3_dose,reduced_coverage_upper,652817,24944,4233,3830606,228151,7491,1271,3674121
NER,4_dose,full_coverage,940959,35495,6022,4626130,346445,10988,1864,4462674
NER,4_dose,reduced_coverage,748232,28179,4782,4626130,269390,8454,1435,4462674
NER,4_dose,reduced_coverage_lower,722924,27305,4633,4626130,254493,8051,1366,4462674
NER,4_dose,reduced_coverage_upper,763817,29115,4940,4626130,271331,8484,1439,4462674
NGA,3_dose,full_coverage,6165823,199048,32347,24853890,2581101,58720,9545,23800126
NGA,3_dose,reduced_coverage,2808566,92137,14975,24853890,888712,19317,3141,23800126
NGA,3_dose,reduced_coverage_lower,2808566,92137,14975,24853890,888712,19317,3141,23800126
NGA,3_dose,reduced_coverage_upper,2808566,92137,14975,24853890,888712,19317,3141,23800126
NGA,4_dose,full_coverage,7351575,229989,37376,30071717,3136597,70214,11410,28983906
NGA,4_dose,reduced_coverage,3179298,102108,16595,30071717,1097468,23770,3862,28983906
NGA,4_dose,reduced_coverage_lower,3056935,99315,16143,30071717,1038554,22501,3655,28983906
NGA,4_dose,reduced_coverage_upper,3270644,103788,16867,30071717,1152362,25362,4121,28983906
SLE,3_dose,full_coverage,211015,6047,954,639910,95117,1962,310,605781
SLE,3_dose,reduced_coverage,197430,5600,884,639910,85216,1707,270,605781
SLE,3_dose,reduced_coverage_lower,197430,5600,884,639910,85216,1707,270,605781
SLE,3_dose,reduced_coverage_upper,197430,5600,884,639910,85216,1707,270,605781
SLE,4_dose,full_coverage,254539,6883,1086,771799,117072,2408,379,738351
SLE,4_dose,reduced_coverage,227158,6196,978,771799,101032,2042,322,738351
SLE,4_dose,reduced_coverage_lower,215375,5995,946,771799,97065,1959,310,738351
SLE,4_dose,reduced_coverage_upper,231133,6252,986,771799,104586,2148,339,738351
SSD,3_dose,full_coverage,155762,7373,1400,1419182,42319,1842,350,1354366
SSD,3_dose,reduced_coverage,50561,2594,493,1419182,541,22,4,1354366
SSD,3_dose,reduced_coverage_lower,50561,2594,493,1419182,541,22,4,1354366
SSD,3_dose,reduced_coverage_upper,50561,2594,493,1419182,541,22,4,1354366
SSD,4_dose,full_coverage,186653,8622,1638,1718308,53068,2220,421,1653673
SSD,4_dose,reduced_coverage,58372,2896,551,1718308,3593,106,21,1653673
SSD,4_dose,reduced_coverage_lower,55855,2756,524,1718308,3044,54,11,1653673
SSD,4_dose,reduced_coverage_upper,59577,2954,562,1718308,4349,139,26,1653673
TCD,3_dose,full_coverage,187009,9603,1873,2006975,43999,2176,425,1927737
TCD,3_dose,reduced_coverage,85148,4427,862,2006975,10516,524,102,1927737
TCD,3_dose,reduced_coverage_lower,85148,4427,862,2006975,10516,524,102,1927737
TCD,3_dose,reduced_coverage_upper,85148,4427,862,2006975,10516,524,102,1927737
TCD,4_dose,full_coverage,222057,11244,2190,2426125,56209,2652,516,2343791
TCD,4_dose,reduced_coverage,96427,4951,965,2426125,14723,735,143,2343791
TCD,4_dose,reduced_coverage_lower,93966,4805,936,2426125,12956,672,132,2343791
TCD,4_dose,reduced_coverage_upper,99560,5098,993,2426125,16253,781,152,2343791
TGO,3_dose,full_coverage,258665,7648,1387,805504,104897,2521,457,760098
TGO,3_dose,reduced_coverage,236527,6969,1264,805504,92831,2170,393,760098
TGO,3_dose,reduced_coverage_lower,236527,6969,1264,805504,92831,2170,393,760098
TGO,3_dose,reduced_coverage_upper,236527,6969,1264,805504,92831,2170,393,760098
TGO,4_dose,full_coverage,309532,8694,1576,974259,132247,3061,555,929123
TGO,4_dose,reduced_coverage,272594,7801,1415,974259,112841,2599,473,929123
TGO,4_dose,reduced_coverage_lower,263513,7615,1380,974259,107959,2506,454,929123
TGO,4_dose,reduced_coverage_upper,282059,8041,1458,974259,118234,2733,495,929123
TZA,3_dose,full_coverage,633609,33214,4821,6854181,131086,7123,1031,6568334
TZA,3_dose,reduced_coverage,622624,32055,4655,6854181,125086,6874,997,6568334
TZA,3_dose,reduced_coverage_lower,622624,32055,4655,6854181,125086,6874,997,6568334
TZA,3_dose,reduced_coverage_upper,622624,32055,4655,6854181,125086,6874,997,6568334
TZA,4_dose,full_coverage,776092,39700,5763,8306407,166312,9002,1306,8012588
TZA,4_dose,reduced_coverage,729029,37408,5433,8306407,154500,8312,1207,8012588
TZA,4_dose,reduced_coverage_lower,703613,35927,5216,8306407,147006,7950,1152,8012588
TZA,4_dose,reduced_coverage_upper,758759,38382,5569,8306407,160993,8718,1266,8012588
UGA,3_dose,full_coverage,925760,35395,5507,5574281,301022,9616,1490,5318397
UGA,3_dose,reduced_coverage,799010,30324,4717,5574281,250784,8073,1254,5318397
UGA,3_dose,reduced_coverage_lower,799010,30324,4717,5574281,250784,8073,1254,5318397
UGA,3_dose,reduced_coverage_upper,799010,30324,4717,5574281,250784,8073,1254,5318397
UGA,4_dose,full_coverage,1116820,41627,6476,6748011,376725,11877,1847,6490378
UGA,4_dose,reduced_coverage,927537,34626,5387,6748011,302131,9549,1485,6490378
UGA,4_dose,reduced_coverage_lower,891850,33662,5239,6748011,288124,9198,1435,6490378
UGA,4_dose,reduced_coverage_upper,956390,35731,5558,6748011,319611,9973,1551,6490378
ZMB,3_dose,full_coverage,470263,17489,2664,2479774,182731,5088,777,2378216
ZMB,3_dose,reduced_coverage,452699,16407,2500,2479774,169220,4685,714,2378216
ZMB,3_dose,reduced_coverage_lower,452699,16407,2500,2479774,169220,4685,714,2378216
ZMB,3_dose,reduced_coverage_upper,452699,16407,2500,2479774,169220,4685,714,2378216
ZMB,4_dose,full_coverage,569685,20639,3147,2999049,228127,6243,951,2896552
ZMB,4_dose,reduced_coverage,525498,18709,2852,2999049,202879,5583,853,2896552
ZMB,4_dose,reduced_coverage_lower,504459,18106,2759,2999049,196738,5396,823,2896552
ZMB,4_dose,reduced_coverage_upper,545636,19309,2943,2999049,215642,5727,871,2896552
